"美方军售日期","军售内容","可能承包商","美方URL","中方外交回应日期","中方对应制裁日期","制裁清单名称","制裁内容","中方URL","该军售类型"
"2020-05-20","MK-48 重型鱼雷","Lockheed Martin; SAIC","https://www.federalregister.gov/documents/2020/07/17/2020-15497/arms-sales-notification","2020-07-14","2020-07-14","外交部反制裁清单","外交部宣布对洛克希德·马丁公司实施反制裁，理由：参与对台军售。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml","海军装备"
"2020-07-09","PAC-3 防空导弹重新认证/延寿","Lockheed Martin; RTX/Raytheon","https://www.federalregister.gov/documents/2020/08/26/2020-18784/arms-sales-notification","2020-07-14","2020-07-14","外交部反制裁清单","外交部宣布对洛克希德·马丁公司实施反制裁，理由：参与对台军售。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml","防空反导"
"2020-10-22","AGM-84H SLAM-ER 空地导弹","Boeing","https://www.federalregister.gov/documents/2020/12/11/2020-27298/arms-sales-notification","2020-10-26","2020-10-26","外交部反制裁清单","外交部宣布对波音防务、空间与安全实施反制裁，理由：参与对台军售。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","导弹与弹药"
"2020-10-22","MS-110 侦察吊舱","Collins Aerospace","https://www.federalregister.gov/documents/2020/12/17/2020-27732/arms-sales-notification","2020-10-26","","外交部口头声明（未见名单制裁）","外交部就 10 月 21 日美国对台军售表示坚决反对，并宣布将对同批涉售武的洛马、波音、雷神等企业实施制裁；未直接点名 Collins Aerospace。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","雷达与侦察"
"2020-10-22","HIMARS 火箭炮与 ATACMS 战术导弹","Lockheed Martin","https://www.federalregister.gov/documents/2020/12/17/2020-27716/arms-sales-notification","2020-07-14","2020-07-14","外交部反制裁清单","按集团首次被反制口径，洛克希德·马丁集团已于 2020-07-14 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml","火炮与地面装备"
"2020-10-26","鱼叉岸防反舰导弹系统","Boeing","https://www.federalregister.gov/documents/2020/12/11/2020-27292/arms-sales-notification","2020-10-26","2020-10-26","外交部反制裁清单","外交部宣布对波音防务、空间与安全实施反制裁，理由：参与对台军售。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","海军装备"
"2020-11-03","MQ-9B 大型无人机","General Atomics Aeronautical Systems","https://www.federalregister.gov/documents/2020/12/17/2020-27709/arms-sales-notification","2024-04-11","2024-04-11","外交部反制裁清单","外交部宣布对通用原子航空系统实施反制裁，理由：参与对台军售。","https://www.fmprc.gov.cn/web/wjb_673085/zfxxgk_674865/gknrlb/fzcqdcs/202404/t20240411_11280056.shtml","无人机"
"2020-12-07","野战信息通信系统（FICS）","待核实（公开竞争；或涉 IMSE 既有承包商 General Dynamics）","https://www.federalregister.gov/documents/2020/12/22/2020-28201/arms-sales-notification","2024-04-11","2024-04-11","外交部反制裁清单","按集团首次被反制口径，通用动力集团已于 2024-04-11 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/web/wjb_673085/zfxxgk_674865/gknrlb/fzcqdcs/202404/t20240411_11280056.shtml","通信与数据链"
"2021-08-04","M109A6“帕拉丁”自行榴弹炮","BAE Systems","https://www.federalregister.gov/documents/2023/03/22/2023-05825/arms-sales-notification","2024-01-07","2024-01-07","外交部反制裁清单","外交部宣布对BAE系统陆战与武器实施反制裁，理由：参与对台军售。","https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202401/t20240107_11219408.shtml","火炮与地面装备"
"2022-02-07","“爱国者”系统工程服务","RTX/Raytheon; Lockheed Martin","https://www.federalregister.gov/documents/2023/09/27/2023-21054/arms-sales-notification","2020-10-26","2020-10-26","外交部反制裁清单","按集团已被反制口径，洛克希德·马丁集团、雷神集团分别已于 2020-07-14、2020-10-26 被外交部反制；就该联合军售案，可视为相关集团此前均已被中方反制。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml | https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","防空反导"
"2022-04-05","“爱国者”系统承包商技术支援","RTX/Raytheon","https://www.federalregister.gov/documents/2024/05/16/2024-10607/arms-sales-notification","2020-10-26","2020-10-26","外交部反制裁清单","按集团首次被反制口径，雷神集团已于 2020-10-26 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","防空反导"
"2022-06-08","舰艇备件","待核实（美国海军库存/合格供应商体系）","https://www.federalregister.gov/documents/2024/05/24/2024-11526/arms-sales-notification","2022-06-09","","外交部口头声明（未见名单制裁）","外交部表示坚决反对，敦促美方撤销上述对台军售计划，停止售台武器和美台军事联系。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202206/t20220609_10700965.shtml","海军装备"
"2022-07-15","地面装备承包商技术支援与备件服务","待核实（DLA 批准供应商框架）","https://www.federalregister.gov/documents/2024/06/06/2024-12390/arms-sales-notification","2022-07-19","","外交部口头声明（未见名单制裁）","外交部表示坚决反对，敦促美方立即停止售台武器和美台军事联系，停止制造台海局势紧张因素。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202207/t20220719_10723410.shtml","备件与后勤维保"
"2022-09-02","监视雷达项目后勤保障","RTX/Raytheon","https://www.federalregister.gov/documents/2024/06/28/2024-14188/arms-sales-notification","2020-10-26","2020-10-26","外交部反制裁清单","按集团首次被反制口径，雷神集团已于 2020-10-26 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","雷达与侦察"
"2022-09-02","鱼叉 Block II 反舰导弹","Boeing","https://www.federalregister.gov/documents/2024/08/02/2024-17042/arms-sales-notification","2020-10-26","2020-10-26","外交部反制裁清单","按集团首次被反制口径，波音防务集团已于 2020-10-26 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","海军装备"
"2022-09-02","AIM-9X“响尾蛇”导弹","RTX/Raytheon","https://www.federalregister.gov/documents/2024/08/02/2024-17044/arms-sales-notification","2020-10-26","2020-10-26","外交部反制裁清单","按集团首次被反制口径，雷神集团已于 2020-10-26 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","导弹与弹药"
"2022-12-06","军机标准备件","待核实（政府库存/多家航空平台 OEM）","https://www.federalregister.gov/documents/2024/08/21/2024-18761/arms-sales-notification","2022-12-08","","外交部口头声明（未见名单制裁）","外交部表示强烈不满、坚决反对，将采取有力措施，坚定捍卫自身主权和安全利益。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202212/t20221208_10987179.shtml","备件与后勤维保"
"2022-12-06","军机非标准备件","待核实（政府库存/多家航空平台 OEM）","https://www.federalregister.gov/documents/2024/08/21/2024-18760/arms-sales-notification","2022-12-08","","外交部口头声明（未见名单制裁）","外交部表示强烈不满、坚决反对，将采取有力措施，坚定捍卫自身主权和安全利益。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202212/t20221208_10987179.shtml","备件与后勤维保"
"2022-12-28","Volcano 反坦克布雷系统/弹药","Northrop Grumman; Oshkosh Defense","https://www.federalregister.gov/documents/2024/08/26/2024-19128/arms-sales-notification","2023-09-15","2023-09-15","外交部反制裁清单","外交部宣布对诺斯罗普·格鲁曼实施反制裁，理由：参与对台军售。","https://www.fmprc.gov.cn/fyrbt_673021/202309/t20230915_11143550.shtml","火炮与地面装备"
"2023-03-01","HARM 反辐射导弹与 AMRAAM 空空导弹","RTX/Raytheon","https://www.federalregister.gov/documents/2024/09/12/2024-20732/arms-sales-notification","2020-10-26","2020-10-26","外交部反制裁清单","按集团首次被反制口径，雷神集团已于 2020-10-26 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","导弹与弹药"
"2023-06-29","车辆与武器备件","待核实（DLA 合格供应商/多家地面平台厂商）","https://www.federalregister.gov/documents/2024/10/11/2024-23551/arms-sales-notification","2023-06-30","","外交部口头声明（未见名单制裁）","外交部表示坚决反对美对台出售武器，敦促美方停止售台武器和美台军事联系。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202306/t20230630_11106169.shtml","备件与后勤维保"
"2023-06-29","CM-32 装甲车 30 毫米弹药","Alliant Techsystems Operations LLC; General Dynamics Ordnance and Tactical Systems","https://www.federalregister.gov/documents/2024/10/11/2024-23553/arms-sales-notification","2024-01-07","2024-01-07","外交部反制裁清单","外交部宣布对阿连特技术系统实施反制裁，理由：参与对台军售。","https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202401/t20240107_11219408.shtml","火炮与地面装备"
"2023-08-23","F-16 红外搜索与跟踪系统（IRST）","Lockheed Martin","https://www.federalregister.gov/documents/2024/10/29/2024-25113/arms-sales-notification","2020-07-14","2020-07-14","外交部反制裁清单","按集团首次被反制口径，洛克希德·马丁集团已于 2020-07-14 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml","军机与航电"
"2023-12-15","C4 生命周期支持","待核实（竞争采购；或涉 Link 16/C4ISR 既有生态厂商）","https://www.federalregister.gov/documents/2024/12/19/2024-30308/arms-sales-notification","2023-12-18","","外交部口头声明（未见名单制裁）","外交部表示坚决反对，并称将对参与对台售武的有关企业采取反制措施；但本案未见与候选承包商稳定对应的名单落地。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202312/t20231218_11206304.shtml","通信与数据链"
"2024-02-21","战术数据链升级","待核实（竞争采购；可能涉及 Data Link Solutions、ViaSat 等）","https://www.federalregister.gov/documents/2025/01/08/2025-00154/arms-sales-notification","2024-02-22","","外交部口头声明（未见名单制裁）","外交部表示坚决反对，敦促美方停止武装台湾，停止破坏台海和平稳定。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202402/t20240222_11248543.shtml","通信与数据链"
"2024-06-05","F-16 非标准备件与维修件","待核实（F-16 维保链；但本案为美空军库存转移）","https://media.defense.gov/2024/Dec/18/2003615480/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-41%20CN.PDF","2020-07-14","2020-07-14","外交部反制裁清单","按集团首次被反制口径，洛克希德·马丁集团已于 2020-07-14 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml","备件与后勤维保"
"2024-06-05","F-16 标准备件与维修件","待核实（F-16 维保链；但本案为美空军库存转移）","https://media.defense.gov/2024/Dec/18/2003615481/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-42%20CN.PDF","2020-07-14","2020-07-14","外交部反制裁清单","按集团首次被反制口径，洛克希德·马丁集团已于 2020-07-14 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml","备件与后勤维保"
"2024-06-18","Switchblade 300 巡飞弹","AeroVironment","https://www.federalregister.gov/documents/2025/09/30/2025-19044/arms-sales-notification","2024-01-07","2024-01-07","外交部反制裁清单","按集团首次被反制口径，AeroVironment 已于 2024-01-07 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202401/t20240107_11219408.shtml","无人机"
"2024-06-18","ALTIUS 600M-V 无人机/巡飞弹","Anduril Industries","https://www.federalregister.gov/documents/2025/11/18/2025-20078/arms-sales-notification","2024-07-12","2024-07-12","外交部反制裁清单","外交部宣布对安杜里尔工业实施反制裁，理由：参与对台军售。","https://www.fmprc.gov.cn/wjbxw_new/202407/t20240712_11453049.shtml","无人机"
"2024-09-16","军机备件","待核实（政府库存/多家航空平台 OEM）","https://www.federalregister.gov/documents/2025/11/21/2025-20512/arms-sales-notification","2024-09-18","","外交部口头声明（未见名单制裁）","外交部表示坚决反对，称美方持续武装台湾，并表示将采取必要措施；但本案未能与后续名单中的具体承包商稳定配对。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202409/t20240918_11492426.shtml","备件与后勤维保"
"2024-10-25","NASAMS 防空系统","Kongsberg Defence & Aerospace; RTX/Raytheon","https://www.federalregister.gov/documents/2025/12/15/2025-22709/arms-sales-notification","2020-10-26","2020-10-26","外交部反制裁清单","按集团已被反制口径，RTX/雷神集团已于 2020-10-26 被外交部反制；虽然 Kongsberg 未见进入中方清单，但本案所涉已被反制集团部分可视为已命中。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","防空反导"
"2024-10-25","AN/TPS-77/78 雷达","Lockheed Martin","https://www.federalregister.gov/documents/2025/12/15/2025-22712/arms-sales-notification","2020-07-14","2020-07-14","外交部反制裁清单","按集团首次被反制口径，洛克希德·马丁集团已于 2020-07-14 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml","雷达与侦察"
"2024-11-29","F-16 及 AESA 雷达备件与支持","Lockheed Martin; Northrop Grumman","https://media.defense.gov/2024/Dec/18/2003615491/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-103%20CN.PDF","2023-09-15","2023-09-15","外交部反制裁清单","按集团已被反制口径，洛克希德·马丁集团、诺斯罗普·格鲁曼集团分别已于 2020-07-14、2023-09-15 被外交部反制；就该联合军售案，可视为相关集团此前均已被中方反制。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml | https://www.fmprc.gov.cn/fyrbt_673021/202309/t20230915_11143550.shtml","备件与后勤维保"
"2024-11-29","IMSE 通信系统后续支持","General Dynamics Mission Systems","https://media.defense.gov/2024/Dec/18/2003615484/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-112%20CN.PDF","2024-04-11","2024-04-11","外交部反制裁清单","按集团首次被反制口径，通用动力集团已于 2024-04-11 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/web/wjb_673085/zfxxgk_674865/gknrlb/fzcqdcs/202404/t20240411_11280056.shtml","通信与数据链"
"2024-12-20","MK 75 76 毫米舰炮炮座","Leonardo","https://www.federalregister.gov/documents/2026/01/12/2026-00361/arms-sales-notification","2024-12-21","","外交部口头声明（未见名单制裁）","外交部就美国宣布向中国台湾地区提供军援军售答记者问，表示强烈不满和坚决反对，称将采取一切必要措施坚定捍卫国家主权和领土完整。","https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202412/t20241221_11514705.shtml","海军装备"
"2024-12-20","C4 现代化 MIDS JTRS 数据链终端","Data Link Solutions; ViaSat","https://www.federalregister.gov/documents/2026/01/12/2026-00367/arms-sales-notification","2024-01-07","2024-01-07","外交部反制裁清单","按集团首次被反制口径，Data Link Solutions、ViaSat 所属数据链集团已于 2024-01-07 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202401/t20240107_11219408.shtml","通信与数据链"
"2025-11-13","F-16/C-130/IDF 非标准备件","待核实（政府库存/多家平台 OEM 与子系统商）","https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-49","2025-11-14","","外交部口头声明（未见名单制裁）","外交部表示坚决反对美国再次对台军售，敦促美方停止武装台湾，停止制造新的台海局势紧张因素。","https://www.fmprc.gov.cn/web/fyrbt_673021/202511/t20251114_11753464.shtml","备件与后勤维保"
"2025-12-17","M109A7 自行榴弹炮","BAE Systems","https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-51","2024-01-07","2024-01-07","外交部反制裁清单","按集团首次被反制口径，BAE Systems 集团已于 2024-01-07 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202401/t20240107_11219408.shtml","火炮与地面装备"
"2025-12-17","战术任务网络（TMN）","待核实（竞争采购；可能涉及战术网络/C4ISR 厂商）","https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-56","2025-12-19","","外交部口头声明（未见名单制裁）","外交部表示坚决反对美国大规模对台军售，称将采取坚决有力措施捍卫国家主权和领土完整；但本案未见与候选承包商直接对应的名单落地。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202512/t20251219_11776886.shtml","通信与数据链"
"2025-12-17","AH-1W 直升机备件","Bell Textron","https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-52","2025-12-19","","外交部口头声明（未见名单制裁）","外交部表示坚决反对美国大规模对台军售，称将采取坚决有力措施捍卫国家主权和领土完整；但本案未见与 Bell Textron 直接对应的名单落地。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202512/t20251219_11776886.shtml","备件与后勤维保"
"2025-12-17","HIMARS + ATACMS + GMLRS 远程打击系统","Lockheed Martin","https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-50","2020-07-14","2020-07-14","外交部反制裁清单","按集团首次被反制口径，洛克希德·马丁集团已于 2020-07-14 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml","火炮与地面装备"
"2025-12-17","TOW 反坦克导弹系统","RTX/Raytheon","https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-53","2020-10-26","2020-10-26","外交部反制裁清单","按集团首次被反制口径，雷神集团已于 2020-10-26 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","导弹与弹药"
"2025-12-17","标枪反坦克导弹","Javelin Joint Venture (Raytheon/RTX; Lockheed Martin)","https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-54","2020-10-26","2020-10-26","外交部反制裁清单","按集团已被反制口径，洛克希德·马丁集团、雷神集团分别已于 2020-07-14、2020-10-26 被外交部反制；就该联合军售案，可视为相关集团此前均已被中方反制。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml | https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","导弹与弹药"
"2025-12-17","鱼叉导弹后续维修支持","Boeing","https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-55","2020-10-26","2020-10-26","外交部反制裁清单","按集团首次被反制口径，波音防务集团已于 2020-10-26 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","海军装备"
"2025-12-17","ALTIUS-700M/600 系统","Anduril Industries","https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-57","2024-07-12","2024-07-12","外交部反制裁清单","按集团首次被反制口径，Anduril Industries 集团已于 2024-07-12 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/wjbxw_new/202407/t20240712_11453049.shtml","无人机"
