清单名称,列入日期,批次,公告号,英文名,中文名,性质,列入原因,目标国/地区,备注,source
商务部出口管制管控名单,2025-01-02,#1,2025-1,General Dynamics,通用动力公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,L3 Harris Technologies,L3哈里斯公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Intelligent Epitaxy Technology,英特磊公司,企业,危害中国国家安全和利益,美国,半导体企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Clear Align LLC,可利尔阿莱恩公司,企业,危害中国国家安全和利益,美国,光学/军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,"Boeing Defense, Space & Security",波音防务、空间与安全集团,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Lockheed Martin Corporation,洛克希德·马丁公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Raytheon Missiles & Defense,雷神导弹与防务公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Lockheed Martin Missiles and Fire Control,洛克希德·马丁导弹与火控公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Lockheed Martin Aeronautics,洛克希德·马丁航空公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Raytheon/Lockheed Martin Javelin Joint Venture,标枪合资公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Raytheon Missile Systems,雷神导弹系统公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,General Dynamics Ordnance and Tactical Systems,通用动力军械与战术系统公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,General Dynamics Information Technology,通用动力信息技术公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,General Dynamics Mission Systems,通用动力任务系统公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Inter-Coastal Electronics,海岸间电子公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,System Studies & Simulation,系统研究与模拟公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,IronMountain Solutions,铁山解决方案公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Applied Technologies Group,应用技术集团,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Axient,阿克西恩特公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Lockheed Martin Missile System Integration Lab,洛克希德·马丁导弹系统集成实验室,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Lockheed Martin Advanced Technology Laboratories,洛克希德·马丁先进技术实验室,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Lockheed Martin Ventures,洛克希德·马丁风险投资公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Anduril Industries,安杜里尔公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Maritime Tactical Systems,海上战术系统公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,Pacific Rim Defense,环太平洋防务公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,AEVEX Aerospace,AEVEX航天公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,LKD Aerospace,LKD航天公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-01-02,#1,2025-1,"Summit Technologies, Inc.",顶峰科技公司,企业,危害中国国家安全和利益,美国,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_1ee79b1b7f21444ebf4797c0ff8500fd.html
商务部出口管制管控名单,2025-03-04,#2,2025-13,Leidos,莱多斯公司,企业,危害中国国家安全和利益,美国,军工/IT企业；2025-11-10起管控措施停止（吉隆坡经贸磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e1ea9512b1f84dc6b1a17f703fa4cf56.html
商务部出口管制管控名单,2025-03-04,#2,2025-13,"Gibbs&Cox, Inc.",吉布斯和考克斯公司,企业,危害中国国家安全和利益,美国,军舰设计企业；2025-11-10起管控措施停止（吉隆坡经贸磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e1ea9512b1f84dc6b1a17f703fa4cf56.html
商务部出口管制管控名单,2025-03-04,#2,2025-13,"IP Video Market Info, Inc.",监控研究公司,企业,危害中国国家安全和利益,美国,监控技术企业；2025-11-10起管控措施停止（吉隆坡经贸磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e1ea9512b1f84dc6b1a17f703fa4cf56.html
商务部出口管制管控名单,2025-03-04,#2,2025-13,"Sourcemap, Inc.",SourceMap公司,企业,危害中国国家安全和利益,美国,供应链技术企业；2025-11-10起管控措施停止（吉隆坡经贸磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e1ea9512b1f84dc6b1a17f703fa4cf56.html
商务部出口管制管控名单,2025-03-04,#2,2025-13,"Skydio, Inc.",斯凯迪奥公司,企业,危害中国国家安全和利益,美国,无人机企业；2025-11-10起管控措施停止（吉隆坡经贸磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e1ea9512b1f84dc6b1a17f703fa4cf56.html
商务部出口管制管控名单,2025-03-04,#2,2025-13,Rapid Flight LLC,急速飞行公司,企业,危害中国国家安全和利益,美国,无人机企业；2025-11-10起管控措施停止（吉隆坡经贸磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e1ea9512b1f84dc6b1a17f703fa4cf56.html
商务部出口管制管控名单,2025-03-04,#2,2025-13,Red Six Solutions,红色六方案公司,企业,危害中国国家安全和利益,美国,军事训练企业；2025-11-10起管控措施停止（吉隆坡经贸磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e1ea9512b1f84dc6b1a17f703fa4cf56.html
商务部出口管制管控名单,2025-03-04,#2,2025-13,"Shield AI, Inc.",护盾人工智能公司,企业,危害中国国家安全和利益,美国,AI军工企业；2025-11-10起管控措施停止（吉隆坡经贸磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e1ea9512b1f84dc6b1a17f703fa4cf56.html
商务部出口管制管控名单,2025-03-04,#2,2025-13,HavocAI,浩劫人工智能公司,企业,危害中国国家安全和利益,美国,AI军工企业；2025-11-10起管控措施停止（吉隆坡经贸磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e1ea9512b1f84dc6b1a17f703fa4cf56.html
商务部出口管制管控名单,2025-03-04,#2,2025-13,Neros Technologies,尼罗斯科技公司,企业,危害中国国家安全和利益,美国,军工企业；2025-11-10起管控措施停止（吉隆坡经贸磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e1ea9512b1f84dc6b1a17f703fa4cf56.html
商务部出口管制管控名单,2025-03-04,#2,2025-13,Group W,Group W公司,企业,危害中国国家安全和利益,美国,军工企业；2025-11-10起管控措施停止（吉隆坡经贸磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e1ea9512b1f84dc6b1a17f703fa4cf56.html
商务部出口管制管控名单,2025-03-04,#2,2025-13,Aerkomm Inc.,爱尔康公司,企业,危害中国国家安全和利益,美国,通信技术企业；2025-11-10起管控措施停止（吉隆坡经贸磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e1ea9512b1f84dc6b1a17f703fa4cf56.html
商务部出口管制管控名单,2025-03-04,#2,2025-13,"General Atomics Aeronautical Systems, Inc.",通用原子航空系统公司,企业,危害中国国家安全和利益,美国,军工企业；2025-11-10起管控措施停止（吉隆坡经贸磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e1ea9512b1f84dc6b1a17f703fa4cf56.html
商务部出口管制管控名单,2025-03-04,#2,2025-13,General Dynamics Land Systems,通用动力陆地系统公司,企业,危害中国国家安全和利益,美国,军工企业；2025-11-10起管控措施停止（吉隆坡经贸磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e1ea9512b1f84dc6b1a17f703fa4cf56.html
商务部出口管制管控名单,2025-03-04,#2,2025-13,Aero Vironment,宇航环境公司,企业,危害中国国家安全和利益,美国,无人机企业；2025-11-10起管控措施停止（吉隆坡经贸磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e1ea9512b1f84dc6b1a17f703fa4cf56.html
商务部出口管制管控名单,2025-04-04,#3,2025-21,High Point Aerotechnologies,高点航空技术公司,企业,危害中国国家安全和利益,美国,军工企业；管控措施暂停中（2025-11-10起续暂停1年至2026-11-10，吉隆坡磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_906685e3930048baa0fd95a651fd628d.html
商务部出口管制管控名单,2025-04-04,#3,2025-21,"Universal Logistics Holdings, Inc.",环球世界物流公司,企业,危害中国国家安全和利益,美国,物流企业；管控措施暂停中（2025-11-10起续暂停1年至2026-11-10，吉隆坡磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_906685e3930048baa0fd95a651fd628d.html
商务部出口管制管控名单,2025-04-04,#3,2025-21,"Source Intelligence, Inc.",Source Intelligence公司,企业,危害中国国家安全和利益,美国,供应链技术企业；管控措施暂停中（2025-11-10起续暂停1年至2026-11-10，吉隆坡磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_906685e3930048baa0fd95a651fd628d.html
商务部出口管制管控名单,2025-04-04,#3,2025-21,Coalition For A Prosperous America,美国繁荣联盟,组织,危害中国国家安全和利益,美国,贸易倡导组织；管控措施暂停中（2025-11-10起续暂停1年至2026-11-10，吉隆坡磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_906685e3930048baa0fd95a651fd628d.html
商务部出口管制管控名单,2025-04-04,#3,2025-21,Sierra Nevada Corporation,内华达山脉公司,企业,危害中国国家安全和利益,美国,军工企业；管控措施暂停中（2025-11-10起续暂停1年至2026-11-10，吉隆坡磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_906685e3930048baa0fd95a651fd628d.html
商务部出口管制管控名单,2025-04-04,#3,2025-21,Edge Autonomy Operations LLC,边缘自治运营公司,企业,危害中国国家安全和利益,美国,无人机企业；管控措施暂停中（2025-11-10起续暂停1年至2026-11-10，吉隆坡磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_906685e3930048baa0fd95a651fd628d.html
商务部出口管制管控名单,2025-04-04,#3,2025-21,Cyberlux Corporation,赛博勒克斯公司,企业,危害中国国家安全和利益,美国,军工企业；管控措施暂停中（2025-11-10起续暂停1年至2026-11-10，吉隆坡磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_906685e3930048baa0fd95a651fd628d.html
商务部出口管制管控名单,2025-04-04,#3,2025-21,Hudson Technologies Co.,哈德森技术公司,企业,危害中国国家安全和利益,美国,军工企业；管控措施暂停中（2025-11-10起续暂停1年至2026-11-10，吉隆坡磋商共识）,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_906685e3930048baa0fd95a651fd628d.html
