清单名称,时间,批次,英文名,中文名,性质,制裁原因,来源,备注
外交部反制裁清单,2019-12-02,1,National Endowment for Democracy (NED),美国国家民主基金会,组织,在香港修例风波中表现恶劣,https://www.mfa.gov.cn/fyrbt_673021/jzhsl_673025/201912/t20191202_5418326.shtml,美国NGO
外交部反制裁清单,2019-12-02,1,National Democratic Institute (NDI),美国国际事务民主协会,组织,在香港修例风波中表现恶劣,https://www.mfa.gov.cn/fyrbt_673021/jzhsl_673025/201912/t20191202_5418326.shtml,美国NGO
外交部反制裁清单,2019-12-02,1,International Republican Institute (IRI),美国国际共和研究所,组织,在香港修例风波中表现恶劣,https://www.mfa.gov.cn/fyrbt_673021/jzhsl_673025/201912/t20191202_5418326.shtml,美国NGO
外交部反制裁清单,2019-12-02,1,Human Rights Watch (HRW),人权观察,组织,在香港修例风波中表现恶劣,https://www.mfa.gov.cn/fyrbt_673021/jzhsl_673025/201912/t20191202_5418326.shtml,国际人权NGO
外交部反制裁清单,2019-12-02,1,Freedom House,自由之家,组织,在香港修例风波中表现恶劣,https://www.mfa.gov.cn/fyrbt_673021/jzhsl_673025/201912/t20191202_5418326.shtml,美国NGO
外交部反制裁清单,2020-07-13,2,Congressional-Executive Commission on China (CECC),美国国会-行政部门中国委员会,组织,涉疆问题上表现恶劣,https://www.fmprc.gov.cn/wjb_673085/zzjg_673183/gjs_673893/gjzz_673897/lhgyffz_673913/fyrth_673921/202007/t20200713_7658904.shtml,美国国会机构
外交部反制裁清单,2020-07-13,2,Sam Brownback,布朗巴克,个人,涉疆问题上表现恶劣,https://www.fmprc.gov.cn/wjb_673085/zzjg_673183/gjs_673893/gjzz_673897/lhgyffz_673913/fyrth_673921/202007/t20200713_7658904.shtml,美国宗教自由大使
外交部反制裁清单,2020-07-13,2,Marco Rubio,鲁比欧,个人,涉疆问题上表现恶劣,https://www.fmprc.gov.cn/wjb_673085/zzjg_673183/gjs_673893/gjzz_673897/lhgyffz_673913/fyrth_673921/202007/t20200713_7658904.shtml,美国参议员
外交部反制裁清单,2020-07-13,2,Ted Cruz,克鲁兹,个人,涉疆问题上表现恶劣,https://www.fmprc.gov.cn/wjb_673085/zzjg_673183/gjs_673893/gjzz_673897/lhgyffz_673913/fyrth_673921/202007/t20200713_7658904.shtml,美国参议员
外交部反制裁清单,2020-07-13,2,Chris Smith,史密斯,个人,涉疆问题上表现恶劣,https://www.fmprc.gov.cn/wjb_673085/zzjg_673183/gjs_673893/gjzz_673897/lhgyffz_673913/fyrth_673921/202007/t20200713_7658904.shtml,美国众议员
外交部反制裁清单,2020-07-14,3,Lockheed Martin Corporation,洛克希德·马丁公司,企业,参与对台军售,https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml,军工企业
外交部反制裁清单,2020-08-10,4,Marco Rubio,卢比奥,个人,涉港问题上表现恶劣,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202008/t20200810_5419215.shtml,美国参议员
外交部反制裁清单,2020-08-10,4,Ted Cruz,克鲁兹,个人,涉港问题上表现恶劣,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202008/t20200810_5419215.shtml,美国参议员
外交部反制裁清单,2020-08-10,4,Josh Hawley,霍利,个人,涉港问题上表现恶劣,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202008/t20200810_5419215.shtml,美国参议员
外交部反制裁清单,2020-08-10,4,Tom Cotton,科顿,个人,涉港问题上表现恶劣,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202008/t20200810_5419215.shtml,美国参议员
外交部反制裁清单,2020-08-10,4,Pat Toomey,图米,个人,涉港问题上表现恶劣,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202008/t20200810_5419215.shtml,美国参议员
外交部反制裁清单,2020-08-10,4,Chris Smith,史密斯,个人,涉港问题上表现恶劣,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202008/t20200810_5419215.shtml,美国众议员
外交部反制裁清单,2020-08-10,4,Carl Gershman,格什曼,个人,涉港问题上表现恶劣,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202008/t20200810_5419215.shtml,NED创始人
外交部反制裁清单,2020-08-10,4,Derek Mitchell,米德伟,个人,涉港问题上表现恶劣,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202008/t20200810_5419215.shtml,NDI主席
外交部反制裁清单,2020-08-10,4,Daniel Twining,特温宁,个人,涉港问题上表现恶劣,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202008/t20200810_5419215.shtml,IRI主席
外交部反制裁清单,2020-08-10,4,Kenneth Roth,罗斯,个人,涉港问题上表现恶劣,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202008/t20200810_5419215.shtml,人权观察执行主任
外交部反制裁清单,2020-08-10,4,Michael Abramowitz,阿布拉莫维茨,个人,涉港问题上表现恶劣,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202008/t20200810_5419215.shtml,自由之家主席
外交部反制裁清单,2020-10-26,5,"Boeing Defense, Space & Security",波音防务、空间与安全,企业,参与对台军售,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml,军工企业
外交部反制裁清单,2020-10-26,5,Raytheon Corporation,雷神公司,企业,参与对台军售,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml,军工企业
外交部反制裁清单,2020-11-30,6,John Knaus,约翰·克瑙斯,个人,涉港NED/NDI相关人员,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202011/t20201130_5419580.shtml,NED亚洲事务主任
外交部反制裁清单,2020-11-30,6,Manpreet Singh Anand,阿南德,个人,涉港NED/NDI相关人员,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202011/t20201130_5419580.shtml,NDI亚洲项目负责人
外交部反制裁清单,2020-11-30,6,Crystal Rosario,罗萨里奥,个人,涉港NED/NDI相关人员,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202011/t20201130_5419580.shtml,NDI香港分部主任
外交部反制裁清单,2020-11-30,6,Kelvin Sit Tak-O,薛德敖,个人,涉港NED/NDI相关人员,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202011/t20201130_5419580.shtml,NDI香港项目主任
外交部反制裁清单,2021-01-21,7,Mike Pompeo,蓬佩奥,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,前国务卿
外交部反制裁清单,2021-01-21,7,Peter Navarro,纳瓦罗,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,前白宫贸易顾问
外交部反制裁清单,2021-01-21,7,Robert C. O'Brien,奥布莱恩,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,前国安顾问
外交部反制裁清单,2021-01-21,7,David R. Stilwell,史达伟,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,前助理国务卿
外交部反制裁清单,2021-01-21,7,Matt Pottinger,博明,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,前副国安顾问
外交部反制裁清单,2021-01-21,7,Alex Azar,阿扎尔,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,前卫生部长
外交部反制裁清单,2021-01-21,7,Keith J. Krach,克拉奇,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,前副国务卿
外交部反制裁清单,2021-01-21,7,Kelly Craft,克拉夫特,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,前驻联合国大使
外交部反制裁清单,2021-01-21,7,John Bolton,博尔顿,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,前国安顾问
外交部反制裁清单,2021-01-21,7,Steve Bannon,班农,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,前白宫首席策略师
外交部反制裁清单,2021-01-21,7,未公布(1),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(2),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(3),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(4),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(5),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(6),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(7),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(8),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(9),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(10),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(11),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(12),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(13),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(14),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(15),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(16),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(17),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-01-21,7,未公布(18),未公布,个人,严重侵犯中国主权,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202101/t20210121_7943959.shtml,未公布
外交部反制裁清单,2021-03-22,8,Reinhard Bütikofer,待查,个人,反制欧盟涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210322_9171336.shtml,欧洲议会议员
外交部反制裁清单,2021-03-22,8,Michael Gahler,待查,个人,反制欧盟涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210322_9171336.shtml,欧洲议会议员
外交部反制裁清单,2021-03-22,8,Raphaël Glucksmann,待查,个人,反制欧盟涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210322_9171336.shtml,欧洲议会议员
外交部反制裁清单,2021-03-22,8,Ilhan Kyuchyuk,待查,个人,反制欧盟涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210322_9171336.shtml,欧洲议会议员
外交部反制裁清单,2021-03-22,8,Miriam Lexmann,待查,个人,反制欧盟涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210322_9171336.shtml,欧洲议会议员
外交部反制裁清单,2021-03-22,8,Sjoerd Sjoerdsma,待查,个人,反制欧盟涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210322_9171336.shtml,荷兰众议员
外交部反制裁清单,2021-03-22,8,Samuel Cogolati,待查,个人,反制欧盟涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210322_9171336.shtml,比利时众议员
外交部反制裁清单,2021-03-22,8,Dovilė Šakalienė,待查,个人,反制欧盟涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210322_9171336.shtml,立陶宛议员
外交部反制裁清单,2021-03-22,8,Adrian Zenz,郑国恩,个人,反制欧盟涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210322_9171336.shtml,德国学者
外交部反制裁清单,2021-03-22,8,Björn Fredrik Jerdén,待查,个人,反制欧盟涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210322_9171336.shtml,瑞典学者
外交部反制裁清单,2021-03-22,8,Political and Security Committee (EU),欧盟政治与安全委员会,组织,反制欧盟涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210322_9171336.shtml,欧盟机构
外交部反制裁清单,2021-03-22,8,European Parliament Subcommittee on Human Rights,欧洲议会人权分委会,组织,反制欧盟涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210322_9171336.shtml,欧盟机构
外交部反制裁清单,2021-03-22,8,Mercator Institute for China Studies (MERICS),墨卡托中国研究中心,组织,反制欧盟涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210322_9171336.shtml,德国智库
外交部反制裁清单,2021-03-22,8,Alliance of Democracies Foundation,民主联盟基金会,组织,反制欧盟涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210322_9171336.shtml,丹麦NGO
外交部反制裁清单,2021-03-26,9,Tom Tugendhat,待查,个人,反制英国涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210326_9171337.shtml,英国议员
外交部反制裁清单,2021-03-26,9,Iain Duncan Smith,待查,个人,反制英国涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210326_9171337.shtml,英国议员
外交部反制裁清单,2021-03-26,9,Neil O'Brien,待查,个人,反制英国涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210326_9171337.shtml,英国议员
外交部反制裁清单,2021-03-26,9,David Alton,待查,个人,反制英国涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210326_9171337.shtml,英国上议员
外交部反制裁清单,2021-03-26,9,Tim Loughton,待查,个人,反制英国涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210326_9171337.shtml,英国议员
外交部反制裁清单,2021-03-26,9,Nus Ghani,待查,个人,反制英国涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210326_9171337.shtml,英国议员
外交部反制裁清单,2021-03-26,9,Helena Kennedy,待查,个人,反制英国涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210326_9171337.shtml,英国上议员
外交部反制裁清单,2021-03-26,9,Geoffrey Nice,待查,个人,反制英国涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210326_9171337.shtml,英国律师
外交部反制裁清单,2021-03-26,9,Joanne Smith-Finley,待查,个人,反制英国涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210326_9171337.shtml,英国学者
外交部反制裁清单,2021-03-26,9,China Research Group,中国研究小组,组织,反制英国涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210326_9171337.shtml,英国议会团体
外交部反制裁清单,2021-03-26,9,Conservative Party Human Rights Commission,保守党人权委员会,组织,反制英国涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210326_9171337.shtml,英国政党人权组织
外交部反制裁清单,2021-03-26,9,Uyghur Tribunal,维吾尔特别法庭,组织,反制英国涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210326_9171337.shtml,英国民间法庭
外交部反制裁清单,2021-03-26,9,Essex Court Chambers,待查,组织,反制英国涉疆制裁,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202103/t20210326_9171337.shtml,英国律师事务所
外交部反制裁清单,2021-03-27,10,Gayle Conelly Manchin,待查,个人,反制美加涉疆制裁,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202103/t20210327_9180646.shtml,USCIRF主席
外交部反制裁清单,2021-03-27,10,Tony Perkins,待查,个人,反制美加涉疆制裁,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202103/t20210327_9180646.shtml,USCIRF副主席
外交部反制裁清单,2021-03-27,10,Michael Chong,庄文浩,个人,反制美加涉疆制裁,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202103/t20210327_9180646.shtml,加拿大议员
外交部反制裁清单,2021-03-27,10,Subcommittee on International Human Rights (Canada),加拿大众议院国际人权小组委员会,组织,反制美加涉疆制裁,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202103/t20210327_9180646.shtml,加拿大国会机构
外交部反制裁清单,2021-04-17,11,Jónas Haraldsson,待查,个人,涉疆问题上表现恶劣,https://www.fmprc.gov.cn/web/wjb_673085/zzjg_673183/gjs_673893/gjzz_673897/lhgyffz_673913/fyrth_673921/202104/t20210416_9176113.shtml,冰岛律师
外交部反制裁清单,2021-05-26,12,Johnnie Moore Jr.,待查,个人,涉疆问题上表现恶劣,https://www.fmprc.gov.cn/wjb_673085/zzjg_673183/gjs_673893/gjzz_673897/lhgyffz_673913/fyrth_673921/202105/t20210526_9176142.shtml,USCIRF委员
外交部反制裁清单,2021-07-23,13,Wilbur Ross,罗斯,个人,涉港问题上表现恶劣,https://www.fmprc.gov.cn/web/wjdt_674879/fyrbt_674889/202107/t20210723_9177405.shtml,前商务部长
外交部反制裁清单,2021-07-23,13,Carolyn Bartholomew,待查,个人,涉港问题上表现恶劣,https://www.fmprc.gov.cn/web/wjdt_674879/fyrbt_674889/202107/t20210723_9177405.shtml,美中经安会主席
